tratamento,gene,HR_interacao,p_interacao,HR_gene_referencia,n,eventos,fdr
chemotherapy,akt1s1,1.3137649637020592,0.00025394285152879735,0.9619633183657709,1810,1037,0.07141766264343809
chemotherapy,slc19a1,1.2870626085640988,0.00031110683766969225,0.9760917704894384,1810,1037,0.07141766264343809
chemotherapy,sf3b1,0.7696212386349148,0.0004381451695916447,1.0351089119914239,1810,1037,0.07141766264343809
chemotherapy,erbb2,1.2266133575287534,0.0016942720395738786,1.0424165625978328,1810,1037,0.19626040999971683
chemotherapy,mlst8,1.2565104643942198,0.0020067526584838123,0.9437564447109567,1810,1037,0.19626040999971683
chemotherapy,bmp10,1.2932801084071965,0.0028584230647187773,0.9857306982061502,1810,1037,0.21639681725072926
chemotherapy,ncor1,0.7858840103094732,0.0030977049504194373,0.9947082134388244,1810,1037,0.21639681725072926
chemotherapy,rps6kb1,1.2419225175987931,0.004009492827131421,0.9795574023728583,1810,1037,0.2450802490584081
chemotherapy,tp53bp1,0.8247484253335295,0.006828565125288063,1.1143675049672266,1810,1037,0.3710187051406514
chemotherapy,hes2,1.2007066524984573,0.008419957985576538,0.9226129750931368,1810,1037,0.41173594549469267
chemotherapy,stk11,1.2098595397127796,0.01899257636584206,0.9563925147295377,1810,1037,0.4453944298041147
chemotherapy,notch2,0.8502341364076217,0.019920170544067545,1.030897100883426,1810,1037,0.4453944298041147
chemotherapy,arl11,1.2074453056345957,0.020213777427021372,1.0030016333613643,1810,1037,0.4453944298041147
chemotherapy,atr,0.8252424530309134,0.018864609256517565,1.0950937120170767,1810,1037,0.4453944298041147
chemotherapy,cxcr2,0.8119947670453272,0.011197233448511288,1.0153636047764736,1810,1037,0.4453944298041147
chemotherapy,mtor,1.191151723429447,0.014442247970439024,0.9986677102663909,1810,1037,0.4453944298041147
chemotherapy,nfkb2,1.1647631987430795,0.015716322688118192,0.9545601517689051,1810,1037,0.4453944298041147
chemotherapy,tert,1.1910807455812138,0.016107016380347724,0.9796129395239035,1810,1037,0.4453944298041147
chemotherapy,tbx3,0.7838318150149259,0.010140423743647415,1.0022188580135327,1810,1037,0.4453944298041147
chemotherapy,cacna2d3,0.7649732590487723,0.02094902226072523,1.0038018295027586,1810,1037,0.4453944298041147
chemotherapy,ctnna1,0.8268848934633504,0.017722217420576197,1.1409290271505872,1810,1037,0.4453944298041147
chemotherapy,l1cam,1.1716704692922093,0.017238627681739106,0.9346900252486334,1810,1037,0.4453944298041147
chemotherapy,nr3c1,0.8236339128058756,0.015394529796487866,0.9633330465312492,1810,1037,0.4453944298041147
chemotherapy,sdc4,1.2070031853652903,0.025656815770237127,1.016193338124677,1810,1037,0.5227576213185815
chemotherapy,bmp2,1.1795685327578715,0.028844137713748892,0.9864188330221854,1810,1037,0.5641913336809283
chemotherapy,numb,0.8619745332834885,0.03259631026383649,1.0749444466826186,1810,1037,0.5692712756791444
chemotherapy,psenen,1.1810286474980989,0.03065135605681093,0.9318166841449738,1810,1037,0.5692712756791444
chemotherapy,peg3,1.156951151390786,0.03228237000078843,1.016378739331231,1810,1037,0.5692712756791444
chemotherapy,rbl2,0.8386915652492114,0.04176646411694874,1.0308013155791964,1810,1037,0.637780754708482
chemotherapy,fbxw7,0.8555626549131876,0.04830393498501488,1.0262218534656147,1810,1037,0.637780754708482
chemotherapy,ncor2,1.177192767385026,0.04136749544707066,1.0300017119442484,1810,1037,0.637780754708482
chemotherapy,acvr1c,0.8508042467041247,0.045939166930718624,0.9479966094926958,1810,1037,0.637780754708482
chemotherapy,fgf1,0.863070678988865,0.05028547534724053,1.0726778025697878,1810,1037,0.637780754708482
chemotherapy,mmp15,1.1294088903428836,0.050865949762026165,1.0156752408513445,1810,1037,0.637780754708482
chemotherapy,pdgfb,1.1491773947804194,0.043600269162562696,1.0384152219692775,1810,1037,0.637780754708482
chemotherapy,nek1,0.8605849991680689,0.04737584551085354,0.9756559245621257,1810,1037,0.637780754708482
chemotherapy,ppp2r2a,0.8529859921759027,0.050192918934591255,1.0064371677001982,1810,1037,0.637780754708482
chemotherapy,usp9x,0.865499892348218,0.04146175888221064,1.037017113120973,1810,1037,0.637780754708482
chemotherapy,serpini1,0.8251627460430978,0.04143966247985696,1.040405628340724,1810,1037,0.637780754708482
chemotherapy,rad51c,1.1475801980393274,0.09141558757742183,0.9391337623922658,1810,1037,0.7006547786005983
chemotherapy,rb1,0.8720057818963685,0.06653495842695828,1.0431428307538961,1810,1037,0.7006547786005983
chemotherapy,cdkn1b,0.874354708298669,0.09244973434243023,0.9742999504545825,1810,1037,0.7006547786005983
chemotherapy,jak1,0.8804707177232183,0.08657280875759492,0.9994582325599534,1810,1037,0.7006547786005983
chemotherapy,adam10,0.8728880029760943,0.09067091099035758,1.021901554883122,1810,1037,0.7006547786005983
chemotherapy,dll1,0.8842932896237605,0.08324231615206236,1.0700360328112877,1810,1037,0.7006547786005983
chemotherapy,hes1,1.135461745180555,0.07373853289010165,1.0633519032593182,1810,1037,0.7006547786005983
chemotherapy,hes4,1.1547922468934944,0.06812475360022642,1.011721123865327,1810,1037,0.7006547786005983
chemotherapy,bcl2l1,1.1326376896486408,0.09127855660284333,1.0219231456099225,1810,1037,0.7006547786005983
chemotherapy,kras,1.1271535718794297,0.09313407077513065,1.0838044222002783,1810,1037,0.7006547786005983
chemotherapy,mapk14,0.8735373528571616,0.07481095596858486,1.0309290762769745,1810,1037,0.7006547786005983
chemotherapy,mmp24,1.1832360921702956,0.07948789443385801,0.9669631582140245,1810,1037,0.7006547786005983
chemotherapy,rassf1,1.1514790067568195,0.07484491414697472,0.93296983531877,1810,1037,0.7006547786005983
chemotherapy,smad1,0.8719914487583903,0.064754888566929,1.049622850642878,1810,1037,0.7006547786005983
chemotherapy,pde4dip,0.8602005432883197,0.06218161664323492,1.0124316011599968,1810,1037,0.7006547786005983
chemotherapy,aff2,0.8497644327080643,0.0588954124144125,1.0256806072749456,1810,1037,0.7006547786005983
chemotherapy,dnah2,0.8697250311876181,0.07908859895930037,0.970950750676524,1810,1037,0.7006547786005983
chemotherapy,fanca,0.8738022449888602,0.08541093868623335,1.038508326983435,1810,1037,0.7006547786005983
chemotherapy,npnt,0.8532735789434939,0.0763285299753818,1.0521438962089764,1810,1037,0.7006547786005983
chemotherapy,nrg3,0.8756423399056539,0.08784849522625726,1.0868180187041923,1810,1037,0.7006547786005983
chemotherapy,nt5e,0.8628821822357136,0.06457478637458317,1.0362906366362847,1810,1037,0.7006547786005983
chemotherapy,palld,0.8785330448709221,0.08365403936395949,1.0628070360353457,1810,1037,0.7006547786005983
chemotherapy,smarcb1,1.147995148338433,0.06845067622580031,1.0129457265162092,1810,1037,0.7006547786005983
chemotherapy,taf1,0.8730852731011761,0.07711428352215018,1.080809467638585,1810,1037,0.7006547786005983
chemotherapy,hsd17b13,1.1405502457279089,0.078466694208727,0.8931358509148,1810,1037,0.7006547786005983
chemotherapy,prkd1,0.8777048341155098,0.08579169639337247,1.0659918913812778,1810,1037,0.7006547786005983
chemotherapy,cdk4,1.1346078858921882,0.09765610509261091,0.9874305506803821,1810,1037,0.7031941485617027
chemotherapy,ctbp1,0.8811571271046922,0.09560729035522475,0.9882365163879656,1810,1037,0.7031941485617027
chemotherapy,mmp23b,0.8775568667428563,0.09778568937054354,1.0269580156230291,1810,1037,0.7031941485617027
chemotherapy,tbl1xr1,0.8736036851881481,0.09967525319339017,1.0615074195105507,1810,1037,0.7063941856748956
chemotherapy,mapk1,0.8774800321344397,0.10121985870470282,1.0115473290685877,1810,1037,0.707093012951424
chemotherapy,src,1.1287092559205423,0.1051680790252236,1.0396472806114998,1810,1037,0.7077190310729472
chemotherapy,agtr2,0.8919394798213971,0.10565130729718843,0.9911550112961726,1810,1037,0.7077190310729472
chemotherapy,setd1a,1.1287384407273382,0.10317371717896089,0.976184210250358,1810,1037,0.7077190310729472
chemotherapy,sik1,0.8801938729405858,0.10793807233487661,0.9757059187922967,1810,1037,0.7132664509696576
chemotherapy,mlh1,0.9070147316851621,0.1554062900109573,1.0042058503735203,1810,1037,0.7176349129417049
chemotherapy,ccne1,1.104689442404388,0.13130501716163254,0.9932988297647327,1810,1037,0.7176349129417049
chemotherapy,e2f5,1.1034506987587531,0.15655068982751746,0.9732061292820954,1810,1037,0.7176349129417049
chemotherapy,jak2,0.8961246445293466,0.14943115291134593,0.9343830265228156,1810,1037,0.7176349129417049
chemotherapy,mdm2,1.1418803778760491,0.15039793039758353,0.9700532236682781,1810,1037,0.7176349129417049
chemotherapy,aph1b,0.8891159601212822,0.1466258910688636,0.9672997643739468,1810,1037,0.7176349129417049
chemotherapy,ctbp2,0.8899333814992477,0.13976398150543243,1.0404317558588376,1810,1037,0.7176349129417049
chemotherapy,dll3,1.102763790799447,0.1442796923780571,1.032618009729876,1810,1037,0.7176349129417049
chemotherapy,maml3,0.8683048589485036,0.13870708419739944,0.9883919633208813,1810,1037,0.7176349129417049
chemotherapy,psen1,0.8894374000672306,0.12426958220877565,1.0041914643385699,1810,1037,0.7176349129417049
chemotherapy,rbpj,0.8943652939261793,0.14210169325885477,0.970689496583511,1810,1037,0.7176349129417049
chemotherapy,casp10,0.8958839628144044,0.15051706437470816,1.0722685631938884,1810,1037,0.7176349129417049
chemotherapy,dlec1,0.8431173062966892,0.12568391324212247,0.9634836324056233,1810,1037,0.7176349129417049
chemotherapy,fgfr1,0.8846996178218585,0.13037399974900943,1.0189766496732557,1810,1037,0.7176349129417049
chemotherapy,folr3,1.1105866999251117,0.14711794946347473,1.0062534998994572,1810,1037,0.7176349129417049
chemotherapy,izumo1r,0.8987382497177843,0.14541189648631178,1.0126465154021596,1810,1037,0.7176349129417049
chemotherapy,mmp25,1.1305676675047671,0.159767905513059,0.8640104716896739,1810,1037,0.7176349129417049
chemotherapy,nfkb1,0.8937726500128514,0.15531084553361899,0.9630204261553932,1810,1037,0.7176349129417049
chemotherapy,terc,1.1222557403211502,0.11820335615097098,0.972840557116438,1810,1037,0.7176349129417049
chemotherapy,arid1a,0.8926291761868143,0.14168212677411518,1.036922334720435,1810,1037,0.7176349129417049
chemotherapy,gata3,0.890727865043118,0.1326463240418199,0.9918058002132812,1810,1037,0.7176349129417049
chemotherapy,runx1,1.1352243688991668,0.11822697905745559,1.0345363075380125,1810,1037,0.7176349129417049
chemotherapy,nr1i2,1.1232083876677428,0.14518220198937062,0.9414370397612688,1810,1037,0.7176349129417049
chemotherapy,tubb1,1.1103899949439846,0.12185154156660301,0.9745479944718602,1810,1037,0.7176349129417049
chemotherapy,ccnd3,0.9033377351884014,0.14308100379409394,1.0177048522470682,1810,1037,0.7176349129417049
chemotherapy,chd1,0.8935031133826276,0.1618712836925904,0.9916493882109176,1810,1037,0.7176349129417049
chemotherapy,dnah5,0.9055265820895074,0.162473116148835,1.0229618022180902,1810,1037,0.7176349129417049
