estagio,gene,HR,ic_inf,ic_sup,p,n,eventos,fdr
I,nrip1,0.7287929744043956,0.6301984160605187,0.8428126539280292,1.9912693128318143e-05,479,216,0.00973730693974757
I,e2f7,1.269307305314694,1.102784743349026,1.460975086064762,0.000888903565260656,479,216,0.07244564056874346
I,stat5a,0.786019418225175,0.6833909901454301,0.9040600984446181,0.0007439861324013586,479,216,0.07244564056874346
I,mmp11,1.2761747569815787,1.1097707108763322,1.4675301793385296,0.0006237456780556804,479,216,0.07244564056874346
I,fn1,1.2595237216827357,1.1079702621522853,1.431807386598871,0.0004196226676532353,479,216,0.07244564056874346
I,dnah2,0.7834512503814816,0.6787731241222225,0.904272487980512,0.0008527759766795564,479,216,0.07244564056874346
I,mmp9,1.2164790692745608,1.0744001824054312,1.3773464954836379,0.001985152922747308,479,216,0.12407240022751356
I,cdkn2c,0.7750582820148252,0.6592425466479808,0.9112205266092139,0.0020298143186505287,479,216,0.12407240022751356
I,stat5b,0.8126932845152963,0.7076689890113624,0.9333041082087827,0.003307460241591724,479,216,0.13477900484486274
I,rps6,0.8247118272533348,0.7268418626673631,0.9357600778737792,0.002788712358580548,479,216,0.13477900484486274
I,smad6,1.226614017730308,1.0724890023978237,1.402887997106367,0.0028687320326877337,479,216,0.13477900484486274
I,mapt,0.8083251863057674,0.7019734818347325,0.9307895863936395,0.0031120617320526496,479,216,0.13477900484486274
I,bcl2,0.8051202946014778,0.6952374224807839,0.9323702490958575,0.0037881761111184967,479,216,0.14249370141053422
I,mmp17,1.2264793715319255,1.0660879172343933,1.4110014985402162,0.004304805007800065,479,216,0.15036068920101656
I,abcb1,0.825739311652393,0.7189402363639491,0.9484034643221683,0.006735798400158757,479,216,0.21958702784517548
I,e2f6,0.8393180976067856,0.7380327384800025,0.954503550101472,0.007593588789622924,479,216,0.23207905738285062
I,col12a1,1.1846702197281078,1.0421115680730355,1.3467305924890034,0.009583200889632663,479,216,0.260343624168354
