estrato,AUC,n,eventos
luminais (LumA+LumB),0.6655360772357723,986,410
Basal+Her2,0.5491394148020654,376,210
LumA,0.6480536659108087,574,196
LumB,0.5801236665722648,412,214
Basal,0.42019624891317847,180,97
Her2,0.5576287450687707,196,113
claudin-low,0.5960790941355417,158,61
estagio I,0.6123051487954653,408,116
estagio II,0.601371171865833,691,338
estagio III-IV,0.5487714072970962,113,79
