gene,mediana_baixa,mediana_alta,qui_quadrado_logrank,valor_p_logrank
gsk3b,186.4,124.7666667,39.7914592856321,0.000000000282578076622035
stat5a,124.7666667,187.8666667,40.0024967549593,0.000000000253638453211334
spry2,139.3,174.5666667,20.0310630512332,0.00000761943268990425
igf1,137.9333333,176.2666667,18.9181388887292,0.0000136449096460722
