subtipo,gene,diff_z,fdr_subtipo,HR_OS,IC95_inf,IC95_sup,fdr_OS,direcao_subtipo,direcao_risco,coerencia,escore_prioridade,posicao_RF,coef_LASSO
Basal,aurka,1.10688000296524,1.0887380406936e-66,1.19059639798958,1.12337575901865,1.26183939036042,0.000000260518764645943,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,1.27140174052531,2,0.024429104247341
Basal,igf1,-0.602767583490937,2.57041010043726e-16,0.80409353565481,0.750004336735238,0.862083567271557,0.000000102898015516973,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.918360133835176,96,
Basal,lama2,-0.714652262017094,5.50364251325423e-25,0.836019289234385,0.78757278023376,0.887445921841682,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.842751457149824,36,
Basal,fancd2,1.10845806990677,7.11699183798231e-60,1.16278654745772,1.09619884514148,1.23341906529206,0.0000154413112540379,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.804340830263559,18,
Basal,bcl2,-0.916568626122219,3.25564393260991e-46,0.848651657435112,0.798322775155193,0.902153437282751,0.00000500111289918467,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.797339070764697,9,-0.0233829477224504
Basal,abcb1,-0.574425585030159,3.95154369268863e-17,0.821682435024062,0.770195100398744,0.876611684075279,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.742811389220275,34,-0.00546018561644415
Basal,vegfa,0.860493108475283,1.90685048256647e-31,1.16458886853576,1.09984047363737,1.23314904772689,0.00000581283519367319,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.686450088527055,115,0.0300249821148067
Basal,flt3,-0.524139263261108,9.94243573593052e-12,0.819832928570812,0.767249768035087,0.876019855294706,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.685560822221585,138,-0.0843940857789602
Basal,e2f7,0.97438726278261,3.31156661571614e-44,1.1478474004887,1.08443478151925,1.21496808960961,0.0000509308374943492,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.576795736943173,15,0.0111948703000741
Basal,stat5b,-0.514478825367499,2.7345776617876e-12,0.838352623752956,0.789452827075509,0.890281341264032,0.00000048458950633754,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.572806625355439,78,
Basal,kit,0.570037699018001,1.99201207827148e-16,0.846375388812785,0.793721792258563,0.902521898447049,0.0000109645940866009,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.471587074187319,29,
Basal,tgfb3,-1.40997751082609,9.83391039130888e-91,0.893617077270398,0.843457551649554,0.946759536656655,0.0015062272134715,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.447562125299269,31,
Basal,e2f2,1.1961738028959,1.20591830736755e-73,1.12186372193316,1.05939162386564,1.18801978629704,0.00102323057293891,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.411277032281583,10,
Basal,slc19a1,0.730398623785512,2.50390745563735e-24,1.14206130724165,1.0784461073269,1.20942903000636,0.000123517776223097,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.379189594363204,95,
Basal,lamb3,0.709581426992778,7.6028295940218e-24,0.872326528490745,0.820315525219307,0.927635219515415,0.000260437933066788,Superexpresso,Menor risco de óbito,Marcador de melhor prognóstico no subtipo,0.347399863809907,21,-0.0141186009190412
Basal,eif4ebp1,0.850083249064157,4.42589804555357e-31,1.12624152349503,1.06376051825437,1.1923924111471,0.000683518383483835,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.319889641250125,196,
Basal,cdc25a,1.45290663005943,9.96495555795653e-108,1.09749418000599,1.03755874697821,1.16089183253959,0.00731791565049606,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.288656380149787,5,
Basal,pten,-0.996311101090107,1.18074361246973e-41,0.895461544429001,0.843641435281966,0.95046466901329,0.00261141749307362,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.284166048354069,229,
Basal,cdk2,0.878183120895772,8.41684923727845e-34,1.11901509635687,1.05496388907705,1.18695511651122,0.00190000646300885,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.268724959705008,59,
Basal,ar,-1.19219851251325,1.01047221604327e-70,1.10704302036738,1.04134702804715,1.1768836093405,0.00722019581251663,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.25962452236505,17,
Basal,ccne1,1.66716272379512,1.04024288025314e-148,1.09132319909041,1.02974889369178,1.15657936820217,0.0169289641313711,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.258079444120805,11,
Basal,ccnb1,0.681935077873916,2.28295298233232e-23,1.12777384252724,1.06387741938905,1.19550788155561,0.000719015371730211,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.257746586478322,14,0.00404106146142863
Basal,acvr1b,-0.924457368215949,1.53733168483552e-38,1.11653544897347,1.05100572934578,1.1861509162185,0.00303872137211378,Subexpresso,Maior risco de óbito,Marcador de melhor prognóstico no subtipo,0.256522450389388,75,0.0287259604074449
Basal,mapt,-1.11082412236086,5.70429820589419e-74,0.904472603494524,0.85224993744363,0.959895277817221,0.00618963418889861,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.246296415611948,6,
