gene,vezes_selecionado,freq_selecao_perc,HR,fdr
stat3,0,0,0.981502734741346,0.663276170419281
mdm2,0,0,1.0543897460295,0.168698539155665
tp53bp1,0,0,1.02142138663559,0.63779966449571
adam10,0,0,0.989956934090459,0.821714723812652
adam17,0,0,1.07919623871269,0.0443625335624459
aph1a,0,0,0.949219680899386,0.208472948936079
aph1b,0,0,0.933345091108264,0.0805573592277372
arrdc1,0,0,1.08515405883293,0.0237262167178515
cir1,0,0,0.862804220736532,0.0000512352641350509
ctbp1,0,0,0.942113585263821,0.143265081450257
ctbp2,0,0,1.0491389858773,0.240596501774191
cul1,0,0,0.942625415358319,0.15384938274953
dll1,0,0,0.962669885465849,0.378438953422218
dll3,0,0,1.06642464775916,0.103717003855735
dll4,0,0,1.06620827965362,0.10244211176491
dtx1,0,0,0.996693751646396,0.943951166915758
dtx2,0,0,1.08466581141945,0.0310794914097868
dtx3,0,0,1.00130945558059,0.971934350756058
dtx4,0,0,1.01475784469345,0.748882808296973
fbxw7,0,0,1.04280148153395,0.290214772886989
hdac1,0,0,1.00422257114407,0.935136541280041
hdac2,0,0,1.01809805230546,0.696016891944059
hes1,0,0,1.08837265009667,0.0260646962762992
hes5,0,0,0.96112927111917,0.388754186830211
heyl,0,0,1.01261669699188,0.787572286582652
itch,0,0,0.979953861924671,0.647320296173733
jag1,0,0,0.932764418758181,0.0900500855591876
jag2,0,0,1.0483463044916,0.263984962614929
kdm5a,0,0,1.10293111767393,0.00618963418889861
lfng,0,0,1.02914741714078,0.532270904020985
maml1,0,0,1.12873144080997,0.000885989139646236
maml2,0,0,0.956264501559249,0.303942003444978
maml3,0,0,0.976249152745751,0.586830728513073
ncor2,0,0,1.03735178846443,0.378438953422218
ncstn,0,0,1.01540496137954,0.730960219763077
notch1,0,0,1.05353359704004,0.214262533642599
notch2,0,0,0.957387360448322,0.296143744855161
notch3,0,0,1.07035316714994,0.089043489090909
nrarp,0,0,0.970908791388809,0.517121743544743
numb,0,0,0.980838671774802,0.672643367616962
numbl,0,0,1.04224693404816,0.340213776910348
psen1,0,0,1.00336465517433,0.947719054902131
psen2,0,0,1.01660051302494,0.715763625611571
psenen,0,0,0.969846364225129,0.493726874524168
rbpj,0,0,0.97808581484189,0.630304983948245
rbpjl,0,0,1.07980715586033,0.0325411487464388
rfng,0,0,1.02661344645618,0.573400009118599
snw1,0,0,0.937071061942694,0.0976786907776592
spen,0,0,0.983237819102197,0.712184862264833
hes2,0,0,0.954788890386908,0.278756997772631
hes4,0,0,1.00545926775546,0.918449338354895
hes7,0,0,1.03211395337712,0.478914701925559
hey1,0,0,0.970809664689719,0.522953380336333
hey2,0,0,0.965196013945521,0.442403438679133
acvr1,0,0,0.95610397578366,0.283638948312333
acvr1b,0,0,1.11653544897347,0.00303872137211378
acvr1c,0,0,0.953565234741028,0.26739027106879
