desfecho,gene,HR,IC95_inf,IC95_sup,z,valor_p,concordancia,fdr
Sobrevida global (OS),gsk3b,1.2248866488133,1.1587775593845,1.29476730912706,7.16575568338904,7.73586289073817e-13,0.580855597772551,0.000000000378283695357096
Sobrevida global (OS),stat5a,0.80712018362192,0.759187195353284,0.858079528734329,-6.85980950077883,6.89524351317332e-12,0.563089479926824,0.00000000168588703897088
Sobrevida global (OS),spry2,0.809747801858581,0.759021403005426,0.863864312677512,-6.39353284468132,0.000000000162096158062247,0.542129746899061,0.0000000264216737641463
Sobrevida global (OS),igf1,0.80409353565481,0.750004336735238,0.862083567271557,-6.13685686953812,0.00000000084170155842105,0.554773535974911,0.000000102898015516973
Sobrevida global (OS),abcb1,0.821682435024062,0.770195100398744,0.876611684075279,-5.94867396426514,0.00000000270323482278228,0.553498582715156,0.000000260518764645943
Sobrevida global (OS),aurka,1.19059639798958,1.12337575901865,1.26183939036042,5.88346528961348,0.00000000401764384130923,0.589979695635567,0.000000260518764645943
Sobrevida global (OS),lama2,0.836019289234385,0.78757278023376,0.887445921841682,-5.88041372865006,0.00000000409242265283322,0.554886516695817,0.000000260518764645943
Sobrevida global (OS),flt3,0.819832928570812,0.767249768035087,0.876019855294706,-5.87368746023124,0.00000000426206567927922,0.57138290814788,0.000000260518764645943
Sobrevida global (OS),stat5b,0.838352623752956,0.789452827075509,0.890281341264032,-5.75010460002037,0.00000000891882527001608,0.569337997306154,0.00000048458950633754
Sobrevida global (OS),cdkn2c,0.81506424673563,0.759973871104346,0.874148114252084,-5.72696827211802,0.0000000102241280972232,0.546050298534467,0.000000499959863954217
Sobrevida global (OS),pdgfra,0.843659709865771,0.795542234182723,0.894687516850697,-5.67397370660991,0.0000000139522556199476,0.538456466236455,0.000000620241181650398
Sobrevida global (OS),rps6,0.854598681204659,0.807976949213905,0.903910571492544,-5.48956355110793,0.000000040292812695203,0.542527390788654,0.00000164193211732952
Sobrevida global (OS),ccnd2,0.845948426489695,0.796265993838513,0.898730758085751,-5.41751849638459,0.0000000604318995677468,0.549134953661822,0.00000227316914527909
Sobrevida global (OS),bcl2,0.848651657435112,0.798322775155193,0.902153437282751,-5.26111922916309,0.000000143181146397925,0.570575558370022,0.00000500111289918467
Sobrevida global (OS),vegfa,1.16458886853576,1.09984047363737,1.23314904772689,5.22063794992318,0.000000178307828026785,0.561339283919345,0.00000581283519367319
Sobrevida global (OS),kit,0.846375388812785,0.793721792258563,0.902521898447049,-5.08963164584331,0.000000358759724714957,0.54227288261665,0.0000109645940866009
Sobrevida global (OS),fancd2,1.16278654745772,1.09619884514148,1.23341906529206,5.01266449371694,0.000000536814501674118,0.567431397382546,0.0000154413112540379
Sobrevida global (OS),jak2,0.858787331360974,0.807630393829366,0.913184652461115,-4.85816776205492,0.0000011847700671924,0.536857447279014,0.0000321862534920601
Sobrevida global (OS),e2f7,1.1478474004887,1.08443478151925,1.21496808960961,4.75556642291535,0.00000197890779630396,0.555649639145206,0.0000509308374943492
Sobrevida global (OS),cir1,0.862804220736532,0.811773014358753,0.917043447063618,-4.7439880822168,0.00000209551182556445,0.541759845606417,0.0000512352641350509
Sobrevida global (OS),kras,1.15301206843197,1.08644864585104,1.2236536305942,4.69288546469672,0.00000269378321779269,0.542471101461512,0.0000627266663571727
Sobrevida global (OS),slc19a1,1.14206130724165,1.0784461073269,1.20942903000636,4.54257820842438,0.00000555703696709231,0.559607985043122,0.000123517776223097
Sobrevida global (OS),tubb4b,1.14418667086602,1.07815471179348,1.21426278016234,4.44114808709997,0.00000894801875951795,0.544322618257845,0.000190027263044771
Sobrevida global (OS),lifr,0.860912112408184,0.805744069559976,0.919857425318538,-4.43222662307312,0.00000932649143778018,0.545949379812235,0.000190027263044771
Sobrevida global (OS),lamb3,0.872326528490745,0.820315525219307,0.927635219515415,-4.35486618824776,0.0000133148227539258,0.528204571497497,0.000260437933066788
Sobrevida global (OS),wwox,1.1243852018467,1.0660583221508,1.1859032999069,4.31361326623222,0.0000160607795968521,0.539132742295398,0.000302066200879256
Sobrevida global (OS),diras3,0.861929299350424,0.804016458645068,0.92401356849173,-4.18692654922732,0.0000282757279454295,0.554109321914641,0.000500263547621384
