gene,freq_perc,HR,IC95_inf,IC95_sup,valor_p,fdr
gata3,12.1,0.59022648589582,0.480784495966633,0.724580987064743,0.000000468512838334127,0.000033264411521723
cbfb,4.8,0.501373071038398,0.361081475192432,0.696172397735188,0.000037492689685318,0.00125178868281188
tp53,34.7,1.28864529079404,1.13955656208746,1.45723936900835,0.0000528924795554317,0.00125178868281188
lama2,5,0.691188178076469,0.515497984501048,0.926756479901809,0.0135757219813384,0.240969065168757
ncor2,4.7,0.716751765162708,0.531688020748107,0.966230332105308,0.0288597439219161,0.409808363691208
taf1,2.1,1.44365903579194,0.978242553807078,2.13050577641785,0.0644317570570542,0.502457749250808
fanca,2.4,1.38466199948007,0.979040771152095,1.95833402376896,0.0657393819897737,0.502457749250808
ep300,2.8,1.349964616905,0.980432315348447,1.85877641767425,0.0659349756118,0.502457749250808
muc16,17.2,1.14962215749058,0.988884909411542,1.33648627096531,0.069599483808015,0.502457749250808
cdh1,9.1,1.19668710584157,0.984910920096408,1.45399954459566,0.0707686970775786,0.502457749250808
thsd7a,2.7,1.33903332089691,0.964238880361092,1.8595083344915,0.0814034697453601,0.525422395629143
col22a1,4.2,1.23941040898519,0.938005744818201,1.63766391665176,0.131098768695177,0.775667714779797
dnah5,7,0.842383049994279,0.664979542917843,1.06711433528315,0.15514736672308,0.78598024173711
kmt2c,12.2,1.13219059945824,0.951982112699498,1.34651222580927,0.160429052190558,0.78598024173711
nf1,3.6,1.21531084744477,0.907235181953097,1.62800174122138,0.191111906121307,0.78598024173711
ubr5,2.4,1.27412377659383,0.880872123962821,1.84293651021501,0.198297689185286,0.78598024173711
birc6,5.6,1.17119951693628,0.916190154617617,1.49718734867248,0.207192708482198,0.78598024173711
alk,2.4,0.765948698700873,0.502151657718244,1.16832713787583,0.215799281390563,0.78598024173711
runx1,3.6,1.20701133608102,0.895541519726451,1.62681052004502,0.216647794683483,0.78598024173711
asxl2,2.4,1.23906528571406,0.878777656057251,1.74706624784922,0.221402884996369,0.78598024173711
erbb2,3.1,1.21795007186997,0.873339234205548,1.69854086415512,0.245280861844268,0.798010702884584
