gene,coeficiente,HR_por_DP
flt3,-0.0444043774699986,0.956567065083373
cdkn2c,-0.04292713344434,0.957981192313746
smad6,0.0373018417269441,1.03800628716765
stat5a,-0.0370905434796865,0.963588884708516
gsk3b,0.0302684392955865,1.03073118557317
mmp25,-0.0191510728232417,0.981031143902609
vegfa,0.0134402549809233,1.01353098121348
abcb1,-0.0089350412459153,0.991104757612098
spry2,-0.00858700361320707,0.991449759399024
igf1,-0.00750412028422414,0.992523965329877
ctcf,0.00410454842841822,1.00411298362426
pdgfra,-0.000631948992622494,0.999368250645086
