desfecho,gene,HR,IC95_inf,IC95_sup,z,valor_p,concordancia,fdr
Sobrevida específica (DSS),aurka,1.45804285375802,1.35348433292642,1.57067866371115,9.93233638624604,3.01115938305854e-23,0.647692974837507,1.47245693831563e-20
Sobrevida específica (DSS),bcl2,0.723214939075348,0.667837134277576,0.783184733606572,-7.97272154052665,1.55217645438832e-15,0.614908347839623,3.79507143097944e-13
Sobrevida específica (DSS),mapt,0.734973978727144,0.679899574985734,0.794509614772657,-7.74826718653187,9.31549717158887e-15,0.624282355615571,1.51842603896899e-12
Sobrevida específica (DSS),gsk3b,1.32582061418178,1.23186277130585,1.42694490160294,7.5202821651078,5.46581505092455e-14,0.604144454231986,6.68195889975526e-12
Sobrevida específica (DSS),fancd2,1.32255207401863,1.2267291504773,1.42585996901633,7.28520641398701,3.21178169781472e-13,0.60474426718424,3.1411225004628e-11
Sobrevida específica (DSS),stat5b,0.743845060909429,0.686142341759676,0.806400423008946,-7.18283941203901,6.82782842046623e-13,0.605472567360045,5.50230247870316e-11
Sobrevida específica (DSS),e2f2,1.30951321836033,1.21637412519231,1.40978407345628,7.16328724384698,7.87650661573049e-13,0.614989887808416,5.50230247870316e-11
Sobrevida específica (DSS),ccne1,1.27052182070871,1.18674023902596,1.36021822115164,6.87902728539926,6.0262618460321e-12,0.624980387166597,0.000000000368355255338712
Sobrevida específica (DSS),e2f7,1.27642306820498,1.18929400308696,1.36993531020663,6.7657669783755,1.32604823015763e-11,0.583524725760082,0.00000000072048620505231
Sobrevida específica (DSS),stat5a,0.752997079589221,0.692835620773793,0.818382578592938,-6.67754751003984,2.42973856128837e-11,0.580273628368002,0.00000000113101138312107
Sobrevida específica (DSS),cdk1,1.29558676345486,1.20066658861942,1.39801096953109,6.6707959611226,2.54419738534393e-11,0.604993211179871,0.00000000113101138312107
Sobrevida específica (DSS),chek1,1.27040858313916,1.18287075503042,1.36442460957803,6.57048760556017,5.01507588003079e-11,0.613121263523589,0.00000000204364342111255
Sobrevida específica (DSS),cdc25a,1.25669133033072,1.17300840704511,1.34634422928537,6.49852332944554,8.11122183792115e-11,0.611930285797591,0.00000000305106729134111
